"name"	"3 months:Worst.Drawdown"	"3 months:StdDev.Sharpe..Rf.0.3...p.95..."	"3 months:Sortino.Ratio..MAR...0.."	"3 months:Annualized.Return"	"3 months:High"	"3 months:Low"	"3 months:Beta..SPY"	"3 months:Treynor.Ratio..SPY"	"3 months:Information.Ratio..SPY"	"3 months:Tracking.Error..SPY"	"1 year:Worst.Drawdown"	"1 year:StdDev.Sharpe..Rf.0.3...p.95..."	"1 year:Sortino.Ratio..MAR...0.."	"1 year:Annualized.Return"	"1 year:High"	"1 year:Low"	"1 year:Beta..SPY"	"1 year:Treynor.Ratio..SPY"	"1 year:Information.Ratio..SPY"	"1 year:Tracking.Error..SPY"	"2 years:Worst.Drawdown"	"2 years:StdDev.Sharpe..Rf.0.3...p.95..."	"2 years:Sortino.Ratio..MAR...0.."	"2 years:Annualized.Return"	"2 years:High"	"2 years:Low"	"2 years:Beta..SPY"	"2 years:Treynor.Ratio..SPY"	"2 years:Information.Ratio..SPY"	"2 years:Tracking.Error..SPY"	"3 years:Worst.Drawdown"	"3 years:StdDev.Sharpe..Rf.0.3...p.95..."	"3 years:Sortino.Ratio..MAR...0.."	"3 years:Annualized.Return"	"3 years:High"	"3 years:Low"	"3 years:Beta..SPY"	"3 years:Treynor.Ratio..SPY"	"3 years:Information.Ratio..SPY"	"3 years:Tracking.Error..SPY"	"5 years:Worst.Drawdown"	"5 years:StdDev.Sharpe..Rf.0.3...p.95..."	"5 years:Sortino.Ratio..MAR...0.."	"5 years:Annualized.Return"	"5 years:High"	"5 years:Low"	"5 years:Beta..SPY"	"5 years:Treynor.Ratio..SPY"	"5 years:Information.Ratio..SPY"	"5 years:Tracking.Error..SPY"	"quantity"	"price_"	"fed_taxcost"	"market_value"	"accruedincome"	"unrealizedgainloss"	"estimatedannual_income"	"yield"	"percent_of_portfolio"	"group"
"CVX"	-7.33	-0.426376836231327	-0.111763148669684	-0.185693471503831	133.71	123.91	1.10344275863334	-0.552996335602891	-3.10562587366751	0.0975179571217604	-12.43	-0.316903592492211	0.0236725081681133	0.0304803844144228	133.71	106.73	0.815191183280588	-0.621179401168511	-0.952770235280426	0.112714000730087	-12.85	-0.285807017782904	0.0822778239396446	0.123776677257183	133.71	103.08	0.828861405054425	-0.556850511519289	-1.17135348288817	0.102644051188411	-13.1	-0.262119873487517	0.0598903069308506	0.0963235752693343	133.71	89.47	0.935737046120889	-0.507351588798154	-1.08299599590447	0.107507666981783	-17.99	-0.187640390836494	0.0683241090389374	0.139579436810106	133.71	58.5	0.996009067320384	-0.455793412947755	-0.10334799650719	0.114607666470365	"2520"	129.24	182039.31	325684.8	0	143645.49	10785.6	3.31	0.89	"U.S. LARGE CAP"
"JNJ"	-6.24	-0.331467072578216	0.0409726366866999	0.0529844073728116	105.75	99.15	1.03526407337889	-0.47868561779212	-0.712099129546845	0.0901228624569936	-8.88	-0.23888441581585	0.176360002396864	0.256023051799291	105.75	84.83	0.844418356021769	-0.471319199453737	1.16575048179474	0.101352840281878	-9.43	-0.225216159069308	0.209883353378243	0.308633531826485	105.75	67.24	0.78963276874123	-0.471989691057694	0.653251463381834	0.0989272758417549	-9.43	-0.278968666356756	0.178442199766805	0.231084955937023	105.75	57.68	0.643934633898063	-0.636671784002232	0.183267502084971	0.100023231554104	-12.86	-0.277838801882319	0.1040428889809	0.147081261982478	105.75	49.53	0.581609253574639	-0.774321339995097	-0.0371834985993351	0.116789643397951	"3064"	100.09	180058.55	306675.76	0	126617.21	8579.2	2.8	0.84	"U.S. LARGE CAP"
"PPSIX"	-1.14	-2.00559463113876	-0.0164078482017702	-0.00481825453689044	10.55	10.39	0.0997153870024751	-5.24817940580915	-1.48117004359355	0.0823531871611832	-1.14	-1.83960154778122	0.721957878061635	0.139619757335872	10.55	9.55	0.032552709242638	-13.9442872126589	0.0175529627394017	0.0996314954010868	-5.79	-1.4488489582912	0.192222335567372	0.0661242483418512	10.55	9.28	0.0720989615194498	-6.78569169694415	-1.72740760244355	0.102977951191715	-5.79	-1.42236708366245	0.357324279069865	0.111748738432154	10.55	7.85	0.0644125699725429	-7.25507803467995	-0.912749829194571	0.11066034358682	-9.21	-0.901810966398429	0.175356616863452	0.100270632446776	10.55	6.67	0.115357454089766	-4.09886631170446	-0.347147104293041	0.147353316345756	"28219.1920"	10.44	295000	294608.36	1182.38	-391.64	16028.51	5.44	0.8	"INVESTMENT GRADE TAXABLE"
"XOM"	-6.6	-0.360188713069432	-0.0742002438383959	-0.14988883110756	103.65	96.81	1.38017694922159	-0.429664029072303	-2.63707032391035	0.10126754981349	-11.48	-0.331994513271075	-0.0137252636981056	-0.0335751227605685	103.66	87.74	0.893739495007558	-0.601016050550288	-1.51962173018441	0.112821532335675	-11.75	-0.292152928795424	0.0693139421266022	0.0990829005307647	103.66	82.59	0.839410447604227	-0.563989007989661	-1.39526484136485	0.103870060569969	-11.75	-0.290288092182207	0.055722429037365	0.0797018550590338	103.66	73.05	0.878109405143332	-0.549739932073936	-1.34116521320455	0.0992063407033133	-21.72	-0.218928928417524	0.0581877872113404	0.103141240254332	103.66	50.7	0.900523860056088	-0.523560342024918	-0.452693802229084	0.10665635145015	"2798"	98.94	183773.32	276834.12	0	93060.8	7722.48	2.79	0.76	"U.S. LARGE CAP"
"AMGN"	-6.07	0.0373204631449736	0.496393876715945	1.31852739477097	139.38	114.84	1.35616217649379	0.083476457468558	6.37100289044939	0.188567890510802	-13.09	-0.107022094975334	0.135177615589461	0.363943154389379	139.38	109.65	1.35936157902087	-0.254636412387191	1.17204783719648	0.192886516919577	-16.23	-0.0981651244806558	0.128528005855055	0.35447280744039	139.38	79.36	1.22241683861501	-0.286895701178848	0.498846993270626	0.221437965580726	-16.23	-0.109612627768688	0.143397582360532	0.360812749006889	139.38	60.48	1.04932726547587	-0.331303854223171	0.754776769685554	0.196162371198752	-21.09	-0.141405873667724	0.0980593976853014	0.22339609429022	139.38	45.32	0.762636719548436	-0.542463428403998	0.370601714229653	0.194203593784348	"2166"	127.39	96026.07	275926.74	0	179900.67	5285.04	1.92	0.75	"U.S. LARGE CAP"
"PCLN"	-10.1	-0.239682384024005	-0.0196027547591726	-0.058728396756936	1309.28	1177.08	1.05053662527049	-0.522824157516661	-0.969146686841929	0.18148874512567	-19.15	-0.153694661806508	0.0236035808289727	0.032858094719004	1370.43	1108	1.70605164813547	-0.296167624206784	-0.469892577568374	0.223482641998408	-19.15	-0.0821335353606085	0.169674514390465	0.469078404063944	1370.43	638.4	1.37312377751409	-0.215271992469376	1.12014177361562	0.200929262037055	-27.05	-0.0750901341173504	0.125623333572278	0.415806167631156	1370.43	476.08	1.31005836046962	-0.245208634507123	0.813281971617726	0.249670134808991	-35.83	-0.0570994627975917	0.119710628075232	0.428683924274968	1370.43	175.19	1.20621852536372	-0.261213604591801	0.943600615698926	0.293831956166561	"210"	1242.45	41221.49	260914.5	0	219693.01	0	0	0.71	"U.S. LARGE CAP"
"MSFT"	-4.75	-0.0492157491274268	0.641723518138194	0.854016453171511	46.84	41.41	0.364599061407543	-0.302699104211976	5.07216885848238	0.145274271115507	-6.5	-0.125748792571315	0.209102411324958	0.427168205897585	46.84	34.26	0.877767939147768	-0.359686441559958	1.8175659784912	0.159167413954519	-13.51	-0.0976879929158872	0.163071731641344	0.436564106689545	46.84	25.16	0.882757946000756	-0.35255571758089	0.946060793772825	0.203533392190547	-17.99	-0.133332882383517	0.119898928019989	0.283091788313492	46.84	24.75	0.990906326768518	-0.388539197034089	0.377761669681606	0.186196339700476	-26.35	-0.168820785953338	0.0580434163427858	0.122220920084453	46.84	20.49	0.892004115558415	-0.518298363941433	-0.170931429041158	0.170846225317041	"5998"	43.16	164053.78	258873.68	0	94819.9	6717.76	2.59	0.71	"U.S. LARGE CAP"
"PEP"	-4.14	-0.283330366007127	0.165777164633244	0.187700295930222	92.75	87.48	0.609015505609631	-0.707418199862018	0.605923370450967	0.116416497678602	-7.66	-0.265427004689905	0.135511568616935	0.194916824265073	92.75	75.45	0.611770469552293	-0.698565770734581	0.470976687048217	0.121122544755186	-10.45	-0.24921141954346	0.15731301865777	0.225148542028551	92.75	65.97	0.656507725561837	-0.628829762228645	-0.159864587801925	0.117978611431431	-10.45	-0.294758922417	0.123175524597734	0.163123553389104	92.75	57.82	0.551010766583662	-0.80332492449445	-0.422104808146072	0.117578368672258	-15.35	-0.273465239354356	0.0838529811900918	0.123832168168516	92.75	51.18	0.502304748945813	-0.918817606033477	-0.197465472865862	0.139729447154589	"2848"	88.1	153424.99	250908.8	0	97483.81	7461.76	2.97	0.68	"U.S. LARGE CAP"
"PG"	-4.57	-0.199718540338481	0.402740837162371	0.424465414597393	83.77	77.32	0.482685028019421	-0.656746415032006	2.57889452943388	0.119161366162635	-6.32	-0.357827743307094	0.0677529347576842	0.0758996666563561	83.77	74.5	0.399354872154669	-1.21334106778883	-0.500174474839969	0.12389929088824	-10.7	-0.249455666657733	0.107945195205013	0.168198873906167	83.77	64.9	0.630523799631803	-0.698159296556779	-0.570099790341497	0.132977193629384	-11.97	-0.275235366059228	0.0856160222109437	0.123977794395963	83.77	55.21	0.56913851778519	-0.810797817596479	-0.669746379759705	0.132551897892341	-12.55	-0.280849521921226	0.0715493811849496	0.104079751596871	83.77	51.84	0.494011077526969	-0.953456620293732	-0.334528015231576	0.141525240851765	"3172"	77.32	186984.65	245259.04	2041.5	58274.39	8164.73	3.33	0.67	"U.S. LARGE CAP"
"AMZN"	-14.9	-0.108428216522088	0.0377079454523473	0.105870503492484	360.84	307.06	2.09408528439952	-0.224552784882039	-0.0381024372059066	0.296314792862449	-29.17	-0.174510186873402	-0.0475476426139251	-0.235394018562117	407.05	288.32	1.97978624041586	-0.320294088868684	-1.27243516423617	0.293346929150303	-29.17	-0.109613773971094	0.060554135238001	0.17887096580144	407.05	248.23	1.53024959909293	-0.2843567807631	-0.250930013199989	0.2595870357729	-29.17	-0.0913094826194749	0.0889374158762921	0.273827808686934	407.05	175.93	1.34061806720025	-0.290538007437125	0.226906562099344	0.269158635088563	-29.84	-0.0931993312067736	0.0694927714809505	0.213675638455503	407.05	108.61	1.11925897201353	-0.373840114677671	0.224870956922685	0.276833121463188	"779"	312.99	131089.27	243819.21	0	112729.94	0	0	0.67	"U.S. LARGE CAP"
